country,suicide_rate,predicted
Argentina,4.8,4.265015067339217
Australia,5.6,5.6262183408805875
Benin,8.4,7.948655468561874
Colombia,2.1,4.76746121130925
Dominican Republic,2.6,3.93857395216083
Haiti,6.0,7.671718182631928
Iceland,6.3,5.8648860344257265
Israel,2.3,2.9159757125235757
Jordan,2.4,3.787949958405548
Libya,2.8,2.7479052075316766
Malta,2.0,2.562103089150021
Mauritania,5.7,5.866567598586865
Mozambique,6.7,5.716165102618444
Oman,1.3,2.4465717992060263
Spain,2.9,4.37205411757272
Sudan,6.3,5.499756967906954
Switzerland,6.0,4.680482911393202
Macedonia,3.1,3.9199167247869298
Togo,8.7,8.839553016314781
Tonga,3.3,2.9293875474425484
Vietnam,3.4,3.8586788445232827
Zimbabwe,10.3,6.479050897928904
